Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,Column 1,Column 2
09/16/2025,004934-25PA,Building & Land Use Pre-Application,Completed,10523    EXETER  AVE  NE  SEATTLE,NW Craft Exeter Homes,Demolish existing residence and select site improvements.Construct four new 2 & 3 story residences with attached garages and associated site improvements.,,,
09/16/2025,004927-25PA,Building & Land Use Pre-Application,Completed,5128    RUSSELL  AVE  NW  SEATTLE,5128 Russell Ave N,"Renovation of existing 16,346 sf one story automobile maintenance building and adding adjacent new 11,676 sf two story maintenance and storage building. Both on same parcel.",,,
09/16/2025,004946-25PA,Building & Land Use Pre-Application,Completed,4807    15TH  AVE  S  SEATTLE,jwa787,EXISTING SFR TO REMAINCONSTRUCT (2) UNITS WITH (2) ATTACHED GARAGES.,,,
09/16/2025,004948-25PA,Building & Land Use Pre-Application,Completed,5511    40TH  AVE  NE  SEATTLE,Kahan South Property Line Retaining Wall,project proposes construction of a concrete retaining wall on the south property line of 5511 40th Ave NE,,,
09/16/2025,004923-25PA,Building & Land Use Pre-Application,Completed,5631    46TH  AVE  SW  SEATTLE,Front Porch,We are removing our old front porch and installing a new (and expanded) front porch. It will be seven feet out from the house and 23 feet wide. It will be about six feet off of the ground.,,,
09/16/2025,004935-25PA,Building & Land Use Pre-Application,Completed,1521    31ST  AVE  S  SEATTLE,,"DEMO SINGLE FAMILY, CONSTRUCT (1)SFR & (1) DUPLEX WITH (3) OPEN PARKING STALLS. FUTURE UNITLOT SUBDIVISION.",,,
09/16/2025,004938-25PA,Building & Land Use Pre-Application,Completed,1739   S  ANGELINE  ST   SEATTLE,Nat DADU,Complete and final for 6909071-CN,,,
09/16/2025,004924-25PA,Building & Land Use Pre-Application,Completed,6111   S  PILGRIM  ST   SEATTLE,Guerin_ECA,Obtain permit to construct retaining walls on the steep slope to address and resolve Violation Letter No. 1061139-VI.,,,
09/16/2025,004940-25PA,Building & Land Use Pre-Application,Completed,7501    34TH  AVE  SW  SEATTLE,New SFRs & DADU,Construction of two new detached SFRs and one new DADU on an existing parcel.,,,
09/16/2025,004943-25PA,Building & Land Use Pre-Application,Completed,1400    DISCOVERY PARK  BLVD   SEATTLE,WP Maintenance Workshop (1143382),Scope: Alteration to existing building to offer a more operational space for County mechanics.,,,
09/16/2025,004925-25PA,Building & Land Use Pre-Application,In Process,2601    50TH  AVE  SW  SEATTLE,2601 Boundary Line Adjustment,"Currently developing a Detached Accessory Dwelling Unit (DADU) in the backyard, consisting of two units that will be combined and classified as a single-family residence. The existing single-family residence (SFR) on the property will be converted into a DADU.I am requesting approval to apply for a boundary line adjustment between the three units.",,,
09/16/2025,004949-25PA,Building & Land Use Pre-Application,Completed,13510    25th  AVE  NE,New DADU,replacing permit 6879613-CN  garage with a new 2 story DADU,,,
09/16/2025,004929-25PA,Building & Land Use Pre-Application,Completed,1028   NE  100TH  ST   SEATTLE,Justin DADU,Complete and final for 6932474-CN,,,
09/16/2025,004936-25PA,Building & Land Use Pre-Application,Completed,3010   W  SMITH  ST   SEATTLE,KCB Smith Street NR,"Demolish existing single family residence, attached garage, and select site improvements.Construct new single family residence with tuck under garage parking, and site improvements.",,,
09/16/2025,004947-25PA,Building & Land Use Pre-Application,Completed,1000    2ND  AVE   SEATTLE,,First floor retail space TI,,,
09/16/2025,004942-25PA,Building & Land Use Pre-Application,Completed,3002   NW  66TH  ST   SEATTLE,,Demolish existing and Build 2 duplexes per plans,,,
09/16/2025,004928-25PA,Building & Land Use Pre-Application,Completed,2711   E  THOMAS  ST   SEATTLE,2711 Chen Demo,Demo existing detached garage. No work proposed in existing SFR.,,,
09/16/2025,004941-25PA,Building & Land Use Pre-Application,Completed,1519    3RD  AVE   SEATTLE,Ringen-Randall Skylight Repair,We are replacing the existing damaged skylight with a new skylight. ***PLAN REVIEW REQUIRED***,,,
09/16/2025,004922-25PA,Building & Land Use Pre-Application,Completed,5030    1ST  AVE  S  SEATTLE,SLTA Restroom,"*full plan review required* Adding single occupant restroom to existing suite. Work includes non-structural partitions, new plumbing and finishes.",,,
09/16/2025,004933-25PA,Building & Land Use Pre-Application,Completed,4323   SW  ADMIRAL  WAY   SEATTLE,Levy Aesthetics TI,"*full plan review required* Change of use from sales and service (Bank of America) to a salon/clinic, occupy per plans",,,
09/15/2025,004914-25PA,Building & Land Use Pre-Application,Completed,11223    DAYTON  AVE  N  SEATTLE,11223 Dayton - 4 Unit Lot Sub,"4 Unit, Unit Lot Subdivision of 4 Detached Residential Buildings, which are being permitted under 7093597-CN.",,,
09/15/2025,004911-25PA,Building & Land Use Pre-Application,Additional Info Requested,2763    4TH  AVE  S  SEATTLE,Permit - Overhead Awning Demo,"At 2763 4th Avenue South in Seattle, there is an overhead awning/canopy structure measuring approximately 50 feet long by 7 feet wide. The awning is currently supported by two 7-inch-wide galvanized steel posts and does not appear to be structurally sound. The property owner has directed that it be demolished and removed. The total estimated square footage is 312 sqft.The proposed scope includes barricading the work zone, disconnecting any utilities or lighting attached to the canopy, dismantling the overhead beams and galvanized posts using lifts and demo tools, and lowering all sections safely to grade. Remaining posts will be cut flush with the slab and patched as needed. All debris will be hauled off in roll-off containers and disposed of properly, with recyclable metals separated.",,,
09/15/2025,004920-25PA,Building & Land Use Pre-Application,Completed,4807    15TH  AVE  S  SEATTLE,jwa787,SUBJECT OT FIELD INSPECTION PER PLAN,,,
09/15/2025,004897-25PA,Building & Land Use Pre-Application,Completed,720    33RD  AVE  S  SEATTLE,2519,"Demo existing SFR.  Construct 4 New Units on corner lot.  Curb cut each street, need DM and CN record numbers.",,,
09/15/2025,004915-25PA,Building & Land Use Pre-Application,Completed,1212   E  SHELBY  ST   SEATTLE,C+C Residence,Demolish existing 712 sq. ft. single story floating home and existing 1282.5 sq. ft. log float. Construct new 1684 sq. ft. two story floating home on new 1282.5 sq. ft. log float.,,,
09/15/2025,004904-25PA,Building & Land Use Pre-Application,Completed,807   NE  80TH  ST   SEATTLE,Kyrylo Sokolov. DADU,"Construction of a 3-story 2B/2B 1,000 sq ft DADU on the south portion of the property",,,
09/15/2025,004905-25PA,Building & Land Use Pre-Application,Completed,111   N  ARGYLE  PL   SEATTLE,,Construct new SFR. Existing SFR to remain. Future Unit Lot Subdivision,,,
09/15/2025,004901-25PA,Building & Land Use Pre-Application,Completed,9052    EVANSTON  AVE  N  SEATTLE,,Build (2) new Single-Family Residences. Existing SFR to remain.,,,
09/15/2025,004907-25PA,Building & Land Use Pre-Application,Completed,1917    3RD  AVE  W  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT A NEW SFR WITH PARKING PER PLAN.",,,
09/15/2025,004910-25PA,Building & Land Use Pre-Application,Additional Info Requested,9340    55TH  AVE  S  SEATTLE,Bing Mayton,"Remove Rear (illegally built add-on), part of building, which is falling down.Wall up exposed rear wall of house. Clean up demo debris.",,,
09/15/2025,004898-25PA,Building & Land Use Pre-Application,Completed,3528   NE  125TH  ST   SEATTLE,,Add (2) new DADUs behind existing house.,,,
09/15/2025,004909-25PA,Building & Land Use Pre-Application,Completed,5044    BAKER  AVE  NW  SEATTLE,,To build a concrete retaining wall in the backyard.,,,
09/15/2025,004916-25PA,Building & Land Use Pre-Application,Completed,7733    24TH  AVE  NW  SEATTLE,Taqueria Del Real,I need a change of land use from a dry cleaner to a limited-service restaurant (taqueria).,,,
09/15/2025,004917-25PA,Building & Land Use Pre-Application,Completed,9454    24TH  AVE  SW  SEATTLE,Nicholas Reilly - 25-0257 - (2 DADUs),NEW DESCRIPTION:  CONSTRUCTING 3 NEW TOWNHOUSE UNITS ON LOT WITH EXISTING SFROLD DESCRIPTION:  Constructing 2 new detached ADUs that are attached to one another,,,
09/14/2025,004895-25PA,Building & Land Use Pre-Application,Completed,812   N  42ND  ST   SEATTLE,Egress Stairs Replacement,The scope is to replace in-kind the exterior egress stairs which collapsed due to water damage.,,,
09/14/2025,004894-25PA,Building & Land Use Pre-Application,Completed,5640    23RD  AVE  SW  SEATTLE,,ADU-I would you enclose my existing carport and attach to the house,,,
09/14/2025,004896-25PA,Building & Land Use Pre-Application,Completed,4917    39TH  AVE  S  SEATTLE,BOTTEMILLER,"Field verification identified localized moisture damage at the exterior elevation. The repair involves opening the exterior wall to remove deteriorated sheathing and framing elements. Damaged components will be replaced in kind to restore structural integrity, and a new moisture barrier will be installed. Salvaged siding and flashing will be reinstalled or replaced to match existing conditions. New insulation will be placed in the opened cavities. Interior gypsum board will be installed, finished and painted to blend with surrounding finishes. The work maintains the existing footprint and use and does not disturb the ground. ***PLAN REVIEW REQUIRED***",,,
09/13/2025,004888-25PA,Building & Land Use Pre-Application,Completed,1405   NW  100TH  ST,UNIT LOT SUBDIVISION,"CREATE 3 UNIT LOTS TO SERVE EXISTING SFD, RECENTLY PERMITTED DADU, AND ONE FUTURE SFD",,,
09/13/2025,004885-25PA,Building & Land Use Pre-Application,Completed,3543   S  BENNETT  ST   SEATTLE,Bennett Duplex,New Duplex behind existing home,,,
09/13/2025,004889-25PA,Building & Land Use Pre-Application,Completed,336    29TH  AVE   SEATTLE,Andersson Structual,"Contractor is to add 1 footing, add 2 posts, 1 beam and sister in 6-8 floor joists in the basment ceiling to reinforce main floor subfloor.",,,
09/12/2025,004879-25PA,Building & Land Use Pre-Application,Completed,3907   S  ANGEL  PL   SEATTLE,,To construct two DADUs in an existing single family lot.,,,
09/12/2025,004875-25PA,Building & Land Use Pre-Application,Completed,836   NE  102ND  ST   SEATTLE,Maple Leaf Unit 2,Construct 1 family dwelling per unit plans. Review and processing for 2 new structures under 7039274-CN & 7059587-CN,,,
09/12/2025,004867-25PA,Building & Land Use Pre-Application,Withdrawn,11409    34TH  AVE  SW  SEATTLE,Toilet Addition to Laundry Room,This permit application is in response to a NOV case no. 1061641-VI. We had a toilet installed in an existing laundry room with an existing sink and existing plumbing. This work was done licensed plumber who did not believe a permit was required. This work was done in 2020.,,,
09/12/2025,004871-25PA,Building & Land Use Pre-Application,Completed,11531    7TH  AVE  NE  SEATTLE,,2-lot LBA,,,
09/12/2025,004865-25PA,Building & Land Use Pre-Application,Withdrawn,11409    34TH  AVE  SW  SEATTLE,Shed,This Permit application is in response to NOV Case No 1061641-VI. We replaced an existing garden shed that was rotted out with a new pre-fab style shed on the southwest side of the home. The dimensions of this shed are 14” x 8” (112 sq. Ft.) which we understand is under the 120 sq. Ft. Threshold to require a permit.,,,
09/12/2025,004872-25PA,Building & Land Use Pre-Application,Completed,421   SW  THISTLE  ST,,LBA,,,
09/12/2025,004863-25PA,Building & Land Use Pre-Application,Completed,807    29TH  AVE  E  SEATTLE,807 29th Ave E - PASV,CONSTRUCT 4 DWELLING UNITS. PARKING PER PLAN. FUTURE ULS.,,,
09/12/2025,004866-25PA,Building & Land Use Pre-Application,Completed,3851    1ST  AVE  S  SEATTLE,Pre-Application,We are converting a tilt-up concrete warehouse building to an indoor badminton facility. We need help with upgrading the building to the proper insulation requirements for the walls and ceilings.,,,
09/11/2025,004845-25PA,Building & Land Use Pre-Application,Completed,6849    26TH  AVE  NE  SEATTLE,,4-UNIT ULS,,,
09/11/2025,004856-25PA,Building & Land Use Pre-Application,Completed,4601    6TH  AVE  S  SEATTLE,Seattle 5 - Slab Repair,SLAB REPAIR BETWEEN GRIDS 5-9 AND A-L.  (HAZARD CORRECTION ORDER CASE NO 1061533-VI)NO CHANGE IN USE OR OCCUPANCY.,,,
09/11/2025,004850-25PA,Building & Land Use Pre-Application,Completed,1500    BROADMOOR  DR  E  SEATTLE,Blakeslee Residence,New Single-Family Residence,,,
09/11/2025,004846-25PA,Building & Land Use Pre-Application,Completed,2301   NE  125TH  ST   SEATTLE,New SFR/ADU 24-0302,New SFR and ADU on East portion of lot.,,,
09/11/2025,004849-25PA,Building & Land Use Pre-Application,Completed,6519   NE  61ST  ST,Duryee Residence & ADU,Construct 3-story residence with 2nd-story ADU within similar footprint as previous 1-story residence on site (to be demolished under separate permit).,,,
09/11/2025,004858-25PA,Building & Land Use Pre-Application,Completed,1402   S  Walker  ST,Tokairin LLC Walker St. Development,Proposed new three story building with 4 apartments and a flower arranging school on the ground level.,,,
09/11/2025,004844-25PA,Building & Land Use Pre-Application,Additional Info Requested,1305    32ND  AVE  S  SEATTLE,Stevonne,Building a new porch with safety hand rails,,,
09/11/2025,004860-25PA,Building & Land Use Pre-Application,Withdrawn,3501  R   43RD  AVE  NE  SEATTLE,Geotechnical Investigation for Waterway 1 Full Line Sewer Replacement Project,Seattle Public Utilities (SPU) plans to complete one geotechnical boring within the 43rd Ave NE right-of-way near 3502 43rd Ave NE to support the Waterway 1 Full Line Sewer Replacement Project. The project would include drilling one (1) geotechnical boring to a depth of 20 feet and within that boring installing a 2-inch diameter well with an 8-inch diameter surface monument. SPU would use the well to aid in the design of the proposed Waterway 1 Full Line Sewer Replacement Project. The project is expected to take up to two working days to complete.,,,
09/10/2025,004836-25PA,Building & Land Use Pre-Application,Completed,3000   S  GRAHAM  ST   SEATTLE,jwa754,EXISTING SFR TO REMAIN AND CONSTRUCT 3 UNITS WITH (3) ATTACHED GARAGES,,,
09/10/2025,004825-25PA,Building & Land Use Pre-Application,Completed,5122   S  BRIGHTON  ST   SEATTLE,Brighton Street Development,"Construct a duplex consisting of two stacked flats and three one-car garages, per plans. Flats to be located above garages. Establish use and occupy, per plans.",,,
09/10/2025,004832-25PA,Building & Land Use Pre-Application,Completed,3947   S  MORGAN  ST   SEATTLE,,4 lot uls,,,
09/10/2025,004828-25PA,Building & Land Use Pre-Application,Completed,905    DEXTER  AVE  N  SEATTLE,Juice Bar T.I.,Owner took over a new space. rebranding it to his desires.,,,
09/10/2025,004833-25PA,Building & Land Use Pre-Application,Withdrawn,3104    21st  AVE  S,REDO DRIVEWAY,WE WILL REDO THE EXISTING DRIVEWAY THAT IS LOCATED WITHIN THE FRONT PROPERTY AREA.,,,
09/10/2025,004831-25PA,Building & Land Use Pre-Application,Completed,435    LAKE WASHINGTON  BLVD   SEATTLE,435 Lake Washington,Removal of an existing single family home and replacement with a new construction single family home.,,,
09/10/2025,004827-25PA,Building & Land Use Pre-Application,Completed,12529    14TH  AVE  NE  SEATTLE,Two new DADUs 25-0208,Two new standard plan detached accessory dwelling units on West Portion of lot per 6880595-SP,,,
09/10/2025,004824-25PA,Building & Land Use Pre-Application,Completed,4827    49TH  AVE  SW  SEATTLE,PAR - 4827 49th Ave SW,Demolition of existing single family residence and new construction of new single-family residence with attached 2-car garage.,,,
09/10/2025,004834-25PA,Building & Land Use Pre-Application,Completed,4118    EVANSTON  AVE  N  SEATTLE,Nicholas Reilly - 24-0314 - SFR,New SFR on lot,,,
09/10/2025,004823-25PA,Building & Land Use Pre-Application,Completed,128   NW  49TH  ST   SEATTLE,Nelis Project,"**SCHEDULE PASV**Construct denuding and replanting of yard of a single-family residence, per plans",,,
09/10/2025,004821-25PA,Building & Land Use Pre-Application,Completed,1627   N  51ST  ST   SEATTLE,1627 N 51st St - Construction - RODKIN-WEST,"Construct alterations at main and upper levels of one-family dwelling, subject to field inspection [STFI].",,,
09/09/2025,004799-25PA,Building & Land Use Pre-Application,Additional Info Requested,822   N  44TH  ST   SEATTLE,Park Plaza Apartments small building,New water main from the meter to the building.,,,
09/09/2025,004800-25PA,Building & Land Use Pre-Application,Completed,1620   E  UNION  ST   SEATTLE,,CONCRETE SLAB OVERLAY REPAIR OF AN EXISTING CONCRETE SLAB-ON-GRADE STAIR THAT CONNECTS THE PARKING LOT,,,
09/09/2025,004817-25PA,Building & Land Use Pre-Application,Completed,5573    22nd  AVE  S,5573 revised new home,"Exiting permit CN-6848958 to construction new SF home was expired on 08/10/205, foundation was completed and inspected.  new Application propose new two stories structure with basement by use existing foundation. primary home at top floor, AADU #1 at basement and AADU #2 at first floor.",,,
09/09/2025,004796-25PA,Building & Land Use Pre-Application,Completed,370    THOMAS  ST   SEATTLE,Seattle Center Monorail Station Rehabilitation,"Renovation of Monorail Station focused on accessibility improvements, asset preservation and user experience upgrades",,,
09/09/2025,004808-25PA,Building & Land Use Pre-Application,Completed,9119    7TH  AVE  S  SEATTLE,Mike Ennen,New construction of 6 (3 story) structures on three lots. 4 Structures - SBC Triplex's & 2 Structures - SRC Duplex with an AADU.,,,
09/09/2025,004802-25PA,Building & Land Use Pre-Application,Completed,5025    12TH  AVE  NE  SEATTLE,YMCA Wright House Demo,Demolish existing residential structure to the ground including foundations and rockery retaining wall on east side of the property.,,,
09/09/2025,004819-25PA,Building & Land Use Pre-Application,Completed,3201   S  WEBSTER  ST   SEATTLE,jwa778,SUBJECT TO FIELD INSPECTION PER PLAN,,,
09/09/2025,004818-25PA,Building & Land Use Pre-Application,Completed,3447    11TH  AVE  W  SEATTLE,Lee House,add a bedroom inside garage,,,
09/09/2025,004814-25PA,Building & Land Use Pre-Application,Completed,11279    59th  AVE  S,PnB 59th Ave. S. Townhomes,Add three new town houses alongside existing single family house,,,
09/09/2025,004794-25PA,Building & Land Use Pre-Application,Withdrawn,3830  R   BEACH  DR  SW  SEATTLE,WO 2504479,Seattle City Light will be conducting routine repair and maintenance on it's utility assets and replacing a pole within the ROW in the Shoreline Area.,,,
09/09/2025,004813-25PA,Building & Land Use Pre-Application,Completed,133    DEXTER  AVE  N  SEATTLE,,"Interior only TI consisting of minor demo, install new fixtures and finishes permit plan.",,,
09/09/2025,004815-25PA,Building & Land Use Pre-Application,Completed,5100    15TH  AVE  NW  SEATTLE,,Interior only TI consisting of minor demo and new fixtures and finishes per plan.,,,
09/09/2025,004793-25PA,Building & Land Use Pre-Application,Completed,2308   W  WHEELER  ST   SEATTLE,2308 W Wheeler,New permit to replace undersized beam in basement unit installed by others.  Other work per #7084389-CN excluded from this application.  This approach suggested in coaching session with Dennis Pradere.,,,
09/09/2025,004804-25PA,Building & Land Use Pre-Application,Completed,1823    Terry  AVE,,TO INSTALL SECURITY GATES WITHIN TWO EXISTING EXIT ENCLOSURES,,,
09/09/2025,004810-25PA,Building & Land Use Pre-Application,Completed,601    Aurora  AVE  N,,"Complete and final for 6764248-CN, subject to field inspection.",,,
09/09/2025,004795-25PA,Building & Land Use Pre-Application,Completed,1912    29TH  AVE  S,Wilcox Robbins Drive & Entry Walk,CONCRETE DRIVEWAY RETAINING WALL AND ENTRY WALK REPLACEMENT/ EXPANSION,,,
09/08/2025,004782-25PA,Building & Land Use Pre-Application,Completed,4219    SUNNYSIDE  AVE  N  SEATTLE,4219 Sunnyside Ave N,Interior alterations to portion of main floor,,,
09/08/2025,004783-25PA,Building & Land Use Pre-Application,Completed,1103    16TH  AVE   SEATTLE,SPRING MANOR,NEW ACCESSORY STRUCTURE W/ RESIDENT SUPPORT PROGRAM SPACE (DEMO EXISTING STRUCTURE). MISC. SITE UPGRADES PER PLANS.,,,
09/08/2025,004780-25PA,Building & Land Use Pre-Application,Completed,11709    Evanston  AVE  N,,Construct (1 SFR with (1) Garage and (1) Open Parking Stall. Existing SFR to remain.,,,
09/08/2025,004779-25PA,Building & Land Use Pre-Application,Completed,906   E  SHELBY  ST,,"Construct substantial alterations to existing two-family residence, subject-to-field inspection (STFI).",,,
09/08/2025,004774-25PA,Building & Land Use Pre-Application,Completed,640    HILLSIDE  DR  E  SEATTLE,Allison Gruber,"Construct alterations to existing single family residence, subject-to-field inspection (STFI).",,,
09/08/2025,004773-25PA,Building & Land Use Pre-Application,Completed,3403   NW  68TH  ST   SEATTLE,Groff Foundation Repair,"Construct foundation repairs to single family residence, subject to field inspection (STFI)",,,
09/07/2025,004772-25PA,Building & Land Use Pre-Application,Completed,7728    MERIDIAN  AVE  N  SEATTLE,Meridian Ave Homes,"DEMOLISH EXISTING STRUCTURES AND CONSTRUCT ONE (1)DETACHED PRIMARY RESIDENTIAL HOME, ONE (1) ATTACHED PRIMARY RESIDENTIAL HOME & 2ATTACHED ACCESSORY DWELLINGUNITS (AADU'S).",,,
09/07/2025,004771-25PA,Building & Land Use Pre-Application,Completed,12046    6TH  AVE  NW  SEATTLE,,DEMOLITION OF EXISTING DWELLING AND CONSTRUCTION OF FOUR NEW DWELLING UNITS WITH FUTURE UNIT LOT SUBDIVISION,,,
09/05/2025,004757-25PA,Building & Land Use Pre-Application,Completed,7935    13TH  AVE  SW  SEATTLE,Saha New Unit,Construct new dwelling unit with attached garage and driveway from alley.,,,
09/05/2025,004763-25PA,Building & Land Use Pre-Application,Completed,521    STADIUM  PL  S  SEATTLE,MultiFamily Renovation,Interior TI: adding a secondary stair to an existing mezzanine per plan,,,
09/05/2025,004744-25PA,Building & Land Use Pre-Application,Completed,1616    EASTLAKE  AVE  E  SEATTLE,,Spec Suite Level 2,,,
09/05/2025,004770-25PA,Building & Land Use Pre-Application,Completed,4411    DAYTON  AVE  N  SEATTLE,Dayton Ave Residence,"remove existing single family residence (two stories + basement) and replace with new approx. 5,000sf (+/-) single family residence and small 200sf (+/-) accessory structure at rear of lot. remove small trees as allowed.",,,
09/05/2025,004748-25PA,Building & Land Use Pre-Application,Completed,1808    M L KING JR  WAY   SEATTLE,,Existing DADU to remain (1806 MLK Way)Demo existing SFRConstruct new 3-story SFR with garage and new 3-story ADU without parking. Surface stall to remain for existing DADU. Existing curb cut to remain.,,,
09/05/2025,004747-25PA,Building & Land Use Pre-Application,Reviews Completed,328   NE  125TH  ST   SEATTLE,jwa791,construct (4) SFRs with (2) attached garages and (3) open parking. Existing SFR & DADU to remain,,,
09/05/2025,004767-25PA,Building & Land Use Pre-Application,Completed,5955    23RD  AVE  S  SEATTLE,Pre-Application,"Project is located in Seattle with the address 5955 23rd Ave S, Seattle. We are proposing 3 middle housing units -  town house attached on the lot behind the existing house.",,,
09/05/2025,004760-25PA,Building & Land Use Pre-Application,Completed,705    PIKE  ST   SEATTLE,ATC Seattle Staging Permit,I was referred over to you in regards to staging permits for the Seattle Convention Center. I will be building 2 separate temporary Stages. We have a performance stage set to 72’W x 56’Dx48’H. I will also have a judges Riser set to the dimensions of FOH 54’Wx8’Dx48’H (First Tier). 54’Wx8’Dx60’H (Second Tier). 12’Wx8’Dx72’H (Camera Riser attached to the other 2 tiers) .,,,
09/05/2025,004769-25PA,Building & Land Use Pre-Application,Completed,8620    RENTON  AVE  S  SEATTLE,MEKETE AADU,permit and inspect existing AADU,,,
09/05/2025,004751-25PA,Building & Land Use Pre-Application,Withdrawn,401    ALASKAN  WAY  S  SEATTLE,T46 sinkhole and subsidence repair,Repair of a sinkhole and subsidence located near the SE corner of T46 is necessary to prevent the decline of the marine cargo terminal. The work is located within the 200-foot shoreline jurisdiction. All work will be located landward of the OHWM/MHHW and the project area and surrounding area is paved. Proper Best Management Practices will be utilized to prevent adverse effects to the shoreline consistent with the shoreline exemption for normal repair and maintenance in 23.60A.020.C.1.,,,
09/05/2025,004745-25PA,Building & Land Use Pre-Application,Completed,1616    EASTLAKE  AVE  E  SEATTLE,,Spec Suites Level 3,,,
09/05/2025,004752-25PA,Building & Land Use Pre-Application,In Process,8231    WALLINGFORD  AVE  N  SEATTLE,TRAO,"Property is a sober living facility, TRAO is not applicable. Need ""owner's certificate of No Displacement""",,,
09/05/2025,004754-25PA,Building & Land Use Pre-Application,Completed,1201    3rd  AVE,,TI build out to existing space.,,,
09/05/2025,004759-25PA,Building & Land Use Pre-Application,Completed,8320    30TH  AVE  NW  SEATTLE,,Demolish existing SFR.  Construct new SFR with detached garage and DADU,,,
09/05/2025,004761-25PA,Building & Land Use Pre-Application,Completed,3731   NE  130TH  ST   SEATTLE,,"Construct an accessory structure, accessory to existing single family residence, subject-to-field inspection (STFI).",,,
09/04/2025,004732-25PA,Building & Land Use Pre-Application,Reviews Completed,610   N  143RD  ST   SEATTLE,Modern 610 N 143rd,CONSTRUCT (1) SINGLE FAMILY RESIDENCE AND (2) DETACHED ACCESSORY DWELLING UNITS,,,
09/04/2025,004727-25PA,Building & Land Use Pre-Application,Completed,6804    47TH  AVE  NE  SEATTLE,MACFARLANE HOMES 6804 47TH AVE NE,"DEMOLISH EXISTING HOUSE AND GARAGE.  CONSTRUCT TWO NEW DWELLINGS, ABOUT 2,700 SF EACH, WITH 2-CAR GARAGES.",,,
09/04/2025,004735-25PA,Building & Land Use Pre-Application,Completed,13757    39TH  AVE  NE  SEATTLE,,"CONSTRUCTION (4) NEW MIDDLE HOUSING UNIT PER PLAN, W/ ATTACHED GARAGE PARKING PROVIDED, EXISTING SFR TO BE DEMOLISHED.",,,
09/04/2025,004739-25PA,Building & Land Use Pre-Application,Completed,13759    2ND  AVE  NW  SEATTLE,2nd Ave SFR,Demolish existing attached garage and construct (1) new SFR behind existing house,,,
09/04/2025,004731-25PA,Building & Land Use Pre-Application,Completed,136   N  77th  ST,,"DEMOLISH EXISTING HOUSE AND CONSTRUCT:·	FOUR (4) THREE-STORY SINGLE-FAMILY HOMES·	TWO (2) GARAGES AND FOUR (4) SURFACE PARKING SPACES·	HARD SURFACE AREA: LESS THAN 5,000 SF",,,
09/04/2025,004733-25PA,Building & Land Use Pre-Application,Completed,6508    50TH  AVE  NE  SEATTLE,Hassan ADU Seattle,Conversion of existing finished basement to ADU (869 sf),,,
09/04/2025,004726-25PA,Building & Land Use Pre-Application,Completed,1445   S  HENDERSON  ST   SEATTLE,Boeing 15-008 Install Additional Plotter Table,"Project consists of architectural, structural, mechanical and electrical modifications to the 15-008 building to install a new Kongsberg C68 plotter table, which will include new utility connections and structural pedestal supports. Also, includes the construction of a 98 SF exterior shelter on the north side of the building which will house new vacuum pumps to support the new plotter table.",,,
09/04/2025,004740-25PA,Building & Land Use Pre-Application,Completed,6027   S  ROXBURY  ST   SEATTLE,,"ADJUST LOT BOUNDARIES, PER PLAN",,,
09/04/2025,004743-25PA,Building & Land Use Pre-Application,Completed,9253    51ST  AVE  S  SEATTLE,Replace Failing Retaining Wall,We have a failing retaining wall on the front of our property that a structural engineer looked at and recommended we replace.We started to remove it before reading about ECAs and are now getting a plan and permit before further removal.,,,
09/04/2025,004724-25PA,Building & Land Use Pre-Application,Completed,8124    18TH  AVE  SW  SEATTLE,8124 18th Ave SW,Establish basement in existing SFR as an AADU. 1st Floor in SFR to remain unaltered.,,,
09/04/2025,004738-25PA,Building & Land Use Pre-Application,In Process,9325    7TH  AVE  S  SEATTLE,,2 lot short subdivision,,,
09/04/2025,004737-25PA,Building & Land Use Pre-Application,Completed,13337    30TH  AVE  NE  SEATTLE,Two new SFRs,"Two new single family residences on rear of lot, behind existing SFR.",,,
09/04/2025,004741-25PA,Building & Land Use Pre-Application,Completed,500   W  ROY  ST   SEATTLE,500 W Roy St - Kinnear Park Condos - Select Exterior Improvements,"Repair moisture damaged portions of exterior walls at existing apartment building, subject to field inspection (STFI)",,,
09/03/2025,004701-25PA,Building & Land Use Pre-Application,Completed,3629    34TH  AVE  W  SEATTLE,Building & Land Use Pre-Application,CONSTRUCT 2 DUPLEXES W/ PARKING PER PLAN,,,
09/03/2025,004695-25PA,Building & Land Use Pre-Application,Withdrawn,7726    15th  AVE  NW,7086318-DM,Looking for pre-ap for this building demo project,,,
09/03/2025,004705-25PA,Building & Land Use Pre-Application,Completed,4563    34TH  AVE  W  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT SFR, AND ADU, WITH PARKING PER PLAN",,,
09/03/2025,004709-25PA,Building & Land Use Pre-Application,Completed,6527    32ND  AVE  NW  SEATTLE,,Demo of existing Single Family. New construction of (1) single family (1) AADU & (1) DADU.,,,
09/03/2025,004697-25PA,Building & Land Use Pre-Application,Completed,1959   NE  PACIFIC  ST   SEATTLE,,UWMC ML TRU PATHOLOGY LAB/ 7S SOILED,,,
09/03/2025,004703-25PA,Building & Land Use Pre-Application,Completed,5720   S  MORGAN  PL   SEATTLE,Lot Line Adjustment,"I'm changing a lot boundary, and that's all.",,,
